"RUP_ID","MapScale","length_m","Rank","NODE_ID","Latitude","Longitude"
95,"1:62,500",4828.17,"Principal",82,40.2804668568846,-117.634441768604
95,"1:62,500",4828.17,"Principal",83,40.2802968002292,-117.634271711948
95,"1:62,500",4828.17,"Principal",84,40.2801645339417,-117.634196131213
95,"1:62,500",4828.17,"Principal",85,40.2800511628381,-117.634177236029
95,"1:62,500",4828.17,"Principal",86,40.279824420631,-117.634262264356
95,"1:62,500",4828.17,"Principal",87,40.279540992872,-117.634451216196
95,"1:62,500",4828.17,"Principal",88,40.2791536416014,-117.634649615627
95,"1:62,500",4828.17,"Principal",89,40.2788040806987,-117.63481022469
95,"1:62,500",4828.17,"Principal",90,40.2783222535084,-117.634961386162
95,"1:62,500",4828.17,"Principal",91,40.2775097605994,-117.635036966897
95,"1:62,500",4828.17,"Principal",92,40.275676927758,-117.635055862081
95,"1:62,500",4828.17,"Principal",93,40.2751573101999,-117.635093652449
95,"1:62,500",4828.17,"Principal",94,40.2742692365551,-117.635216471145
95,"1:62,500",4828.17,"Principal",95,40.274033046756,-117.635282604289
95,"1:62,500",4828.17,"Principal",96,40.2730410495996,-117.635348737432
95,"1:62,500",4828.17,"Principal",97,40.2724269561218,-117.635424318168
95,"1:62,500",4828.17,"Principal",98,40.272096290403,-117.63548100372
95,"1:62,500",4828.17,"Principal",99,40.2714444065574,-117.635669955559
95,"1:62,500",4828.17,"Principal",100,40.2706980467921,-117.636095097198
95,"1:62,500",4828.17,"Principal",101,40.2702823527456,-117.636350182181
95,"1:62,500",4828.17,"Principal",102,40.269611573716,-117.636832009371
95,"1:62,500",4828.17,"Principal",103,40.2691014037499,-117.637181570274
95,"1:62,500",4828.17,"Principal",104,40.2684589674962,-117.637474445625
95,"1:62,500",4828.17,"Principal",105,40.2679865878979,-117.63759726432
95,"1:62,500",4828.17,"Principal",106,40.2673630468282,-117.6377389782
95,"1:62,500",4828.17,"Principal",107,40.2670890666612,-117.637824006527
95,"1:62,500",4828.17,"Principal",108,40.2667961913103,-117.637890139671
95,"1:62,500",4828.17,"Principal",109,40.2665505539191,-117.638050748735
95,"1:62,500",4828.17,"Principal",110,40.2664182876316,-117.63817356743
95,"1:62,500",4828.17,"Principal",111,40.2662293357923,-117.638693184988
95,"1:62,500",4828.17,"Principal",112,40.266040383953,-117.638929374787
95,"1:62,500",4828.17,"Principal",113,40.2657947465619,-117.639118326627
95,"1:62,500",4828.17,"Principal",114,40.2655396615788,-117.63918445977
95,"1:62,500",4828.17,"Principal",115,40.2649539108769,-117.639118326627
95,"1:62,500",4828.17,"Principal",116,40.2643398173992,-117.639099431443
95,"1:62,500",4828.17,"Principal",117,40.2634517437544,-117.639137221811
95,"1:62,500",4828.17,"Principal",118,40.2629793641561,-117.639156116995
95,"1:62,500",4828.17,"Principal",119,40.2627620695409,-117.639089983851
95,"1:62,500",4828.17,"Principal",120,40.2626392508453,-117.638901032011
96,"1:62,500",190.637,"Distributed",1,40.2731426112132,-117.63586835499
96,"1:62,500",190.637,"Distributed",2,40.2717727103782,-117.637219360642
97,"1:62,500",1653.47,"Principal",1,40.2647323172675,-117.638647081249
97,"1:62,500",1653.47,"Principal",2,40.263829185815,-117.63862229548
97,"1:62,500",1653.47,"Principal",3,40.2631661664983,-117.638721438556
97,"1:62,500",1653.47,"Principal",4,40.2626456653525,-117.638894938938
97,"1:62,500",1653.47,"Principal",5,40.2621499499755,-117.639155189511
97,"1:62,500",1653.47,"Principal",6,40.2613134302768,-117.639533172486
97,"1:62,500",1653.47,"Principal",7,40.260619428749,-117.639830601712
97,"1:62,500",1653.47,"Principal",8,40.2599626058744,-117.640097048727
97,"1:62,500",1653.47,"Principal",9,40.2592562114622,-117.640128030938
97,"1:62,500",1653.47,"Principal",10,40.2587419067586,-117.64024576334
97,"1:62,500",1653.47,"Principal",11,40.2580293159041,-117.640332513531
97,"1:62,500",1653.47,"Principal",12,40.2573291179341,-117.640499817471
97,"1:62,500",1653.47,"Principal",13,40.2549465859034,-117.641461815124
97,"1:62,500",1653.47,"Principal",14,40.2544307320892,-117.641545467094
97,"1:62,500",1653.47,"Principal",15,40.2538451683001,-117.641517583104
97,"1:62,500",1653.47,"Principal",16,40.253301430496,-117.641392105149
97,"1:62,500",1653.47,"Principal",17,40.2530086486014,-117.641629119064
97,"1:62,500",1653.47,"Principal",18,40.2525903887521,-117.642200740858
97,"1:62,500",1653.47,"Principal",19,40.252018766958,-117.642869956617
97,"1:62,500",1653.47,"Principal",20,40.2515168551388,-117.643483404396
97,"1:62,500",1653.47,"Principal",21,40.2513216672091,-117.643748302301
97,"1:62,500",1653.47,"Principal",22,40.2509452333447,-117.644068968185
98,"1:62,500",1574.23,"Principal",1,40.2523115488525,-117.639928195677
98,"1:62,500",1574.23,"Principal",2,40.2521163609228,-117.639956079667
98,"1:62,500",1574.23,"Principal",3,40.2518235790283,-117.640081557621
98,"1:62,500",1574.23,"Principal",4,40.2515029131438,-117.640276745551
98,"1:62,500",1574.23,"Principal",5,40.251363493194,-117.640430107496
98,"1:62,500",1574.23,"Principal",6,40.2510149433196,-117.64086230934
98,"1:62,500",1574.23,"Principal",7,40.2505687994803,-117.641559409089
98,"1:62,500",1574.23,"Principal",8,40.2502620755907,-117.642033436918
98,"1:62,500",1574.23,"Principal",9,40.2499692936962,-117.642298334823
98,"1:62,500",1574.23,"Principal",10,40.2497462217766,-117.642507464748
98,"1:62,500",1574.23,"Principal",11,40.2495231498569,-117.642549290733
98,"1:62,500",1574.23,"Principal",12,40.2492582519523,-117.642535348738
98,"1:62,500",1574.23,"Principal",13,40.2490212380377,-117.642409870783
98,"1:62,500",1574.23,"Principal",14,40.248798166118,-117.642279745496
98,"1:62,500",1574.23,"Principal",15,40.2485379155451,-117.642251861506
98,"1:62,500",1574.23,"Principal",16,40.2481289503591,-117.642409870783
98,"1:62,500",1574.23,"Principal",17,40.2478779944495,-117.642595764049
98,"1:62,500",1574.23,"Principal",18,40.2477199851731,-117.642781657316
98,"1:62,500",1574.23,"Principal",19,40.2474039666202,-117.643227801155
98,"1:62,500",1574.23,"Principal",20,40.2470879480674,-117.643748302301
98,"1:62,500",1574.23,"Principal",21,40.2469206441277,-117.64399925821
98,"1:62,500",1574.23,"Principal",22,40.246725456198,-117.644175856813
98,"1:62,500",1574.23,"Principal",23,40.2465860362482,-117.644231624793
98,"1:62,500",1574.23,"Principal",24,40.2458052845294,-117.64444540205
98,"1:62,500",1574.23,"Principal",25,40.2454334979966,-117.644612705989
98,"1:62,500",1574.23,"Principal",26,40.2451267741071,-117.644845072572
98,"1:62,500",1574.23,"Principal",27,40.2447363982477,-117.645142501799
98,"1:62,500",1574.23,"Principal",28,40.2444110850316,-117.645477109678
98,"1:62,500",1574.23,"Principal",29,40.244132245132,-117.645802422894
98,"1:62,500",1574.23,"Principal",30,40.2439463518656,-117.645979021497
98,"1:62,500",1574.23,"Principal",31,40.2436396279761,-117.646220682744
98,"1:62,500",1574.23,"Principal",32,40.24331431476,-117.646285745387
98,"1:62,500",1574.23,"Principal",33,40.2429680885513,-117.64632292404
98,"1:62,500",1574.23,"Principal",34,40.2426334806719,-117.64618350409
98,"1:62,500",1574.23,"Principal",35,40.2422849307974,-117.645960432171
98,"1:62,500",1574.23,"Principal",36,40.2420479168828,-117.645793128231
98,"1:62,500",1574.23,"Principal",37,40.2415738890535,-117.645639766286
98,"1:62,500",1574.23,"Principal",38,40.241253223169,-117.645611882296
98,"1:62,500",1574.23,"Principal",39,40.2409883252644,-117.645611882296
98,"1:62,500",1574.23,"Principal",40,40.2407652533448,-117.645653708281
98,"1:62,500",1574.23,"Principal",41,40.2404027614754,-117.645765244241
98,"1:62,500",1574.23,"Principal",42,40.2400820955909,-117.645862838206
99,"1:62,500",184.494,"Distributed",1,40.2422616941391,-117.645944941065
99,"1:62,500",184.494,"Distributed",2,40.2419766577973,-117.646081262794
99,"1:62,500",184.494,"Distributed",3,40.2416234605912,-117.646353906251
99,"1:62,500",184.494,"Distributed",4,40.2412826562695,-117.646651335477
99,"1:62,500",184.494,"Distributed",5,40.240917066179,-117.647165640181
100,"1:62,500",127.545,"Distributed",1,40.2434204288329,-117.645765244241
100,"1:62,500",127.545,"Distributed",2,40.2428317668227,-117.645827208663
100,"1:62,500",127.545,"Distributed",3,40.2424723731743,-117.64590156597
100,"1:62,500",127.545,"Distributed",4,40.2422802834658,-117.645938744623
101,"1:62,500",328.088,"Principal",1,40.2418608617835,-117.644029078588
101,"1:62,500",328.088,"Principal",2,40.2414890752507,-117.644214971855
101,"1:62,500",328.088,"Principal",3,40.2410801100647,-117.644270739835
101,"1:62,500",328.088,"Principal",4,40.2407826808385,-117.644224266518
101,"1:62,500",328.088,"Principal",5,40.2405224302656,-117.644187087865
101,"1:62,500",328.088,"Principal",6,40.2402714743559,-117.644168498538
101,"1:62,500",328.088,"Principal",7,40.2400205184463,-117.644196382528
101,"1:62,500",328.088,"Principal",8,40.2397602678734,-117.644298623825
101,"1:62,500",328.088,"Principal",9,40.2394721333105,-117.644475222428
101,"1:62,500",328.088,"Principal",10,40.2392862400442,-117.644623937041
101,"1:62,500",328.088,"Principal",11,40.2390631681245,-117.644828419634
102,"1:62,500",183.425,"Distributed",1,40.2398625091699,-117.64543257275
102,"1:62,500",183.425,"Distributed",2,40.2390910521145,-117.645534814046
102,"1:62,500",183.425,"Distributed",3,40.2382359430891,-117.645785769956
103,"1:62,500",657.176,"Principal",1,40.2405967875721,-117.643387746819
103,"1:62,500",657.176,"Principal",2,40.2403737156525,-117.643582934749
103,"1:62,500",657.176,"Principal",3,40.2400855810896,-117.643703765372
103,"1:62,500",657.176,"Principal",4,40.2398253305167,-117.643685176046
103,"1:62,500",657.176,"Principal",5,40.2394721333105,-117.643647997392
103,"1:62,500",657.176,"Principal",6,40.238988810818,-117.643582934749
103,"1:62,500",657.176,"Principal",7,40.2387471495717,-117.643555050759
103,"1:62,500",657.176,"Principal",8,40.2385984349586,-117.643601524076
103,"1:62,500",657.176,"Principal",9,40.2382824164057,-117.643796712005
103,"1:62,500",657.176,"Principal",10,40.2380128711695,-117.644010489262
103,"1:62,500",657.176,"Principal",11,40.2377712099232,-117.644140614548
103,"1:62,500",657.176,"Principal",12,40.2375388433402,-117.644224266518
103,"1:62,500",657.176,"Principal",13,40.2373622447371,-117.644242855845
103,"1:62,500",657.176,"Principal",14,40.2371484674808,-117.644205677192
103,"1:62,500",657.176,"Principal",15,40.2369625742144,-117.644122025222
103,"1:62,500",657.176,"Principal",16,40.2367580916214,-117.643843185322
103,"1:62,500",657.176,"Principal",17,40.2365629036917,-117.643452809463
103,"1:62,500",657.176,"Principal",18,40.2363863050887,-117.643183264226
103,"1:62,500",657.176,"Principal",19,40.2361818224957,-117.64299737096
103,"1:62,500",657.176,"Principal",20,40.235930866586,-117.64291371899
103,"1:62,500",657.176,"Principal",21,40.2356985000031,-117.642885835
103,"1:62,500",657.176,"Principal",22,40.2355590800533,-117.642876540337
103,"1:62,500",657.176,"Principal",23,40.2354289547668,-117.642923013654
103,"1:62,500",657.176,"Principal",24,40.2352802401537,-117.64296948697
104,"1:62,500",125.935,"Distributed",1,40.234471604445,-117.644159203875
104,"1:62,500",125.935,"Distributed",2,40.2342485325253,-117.644177793202
104,"1:62,500",125.935,"Distributed",3,40.2340905232489,-117.644196382528
104,"1:62,500",125.935,"Distributed",4,40.2338953353192,-117.644205677192
104,"1:62,500",125.935,"Distributed",5,40.2337094420528,-117.644149909212
104,"1:62,500",125.935,"Distributed",6,40.2335607274397,-117.644122025222
104,"1:62,500",125.935,"Distributed",7,40.2333469501834,-117.644084846568
105,"1:62,500",709.13,"Distributed",1,40.2052897616492,-117.709535396683
105,"1:62,500",709.13,"Distributed",2,40.2039252810023,-117.710132356966
105,"1:62,500",709.13,"Distributed",3,40.2033283207193,-117.710345557067
105,"1:62,500",709.13,"Distributed",4,40.2024968403252,-117.710452157117
105,"1:62,500",709.13,"Distributed",5,40.2020491201129,-117.710473477128
105,"1:62,500",709.13,"Distributed",6,40.2010897196581,-117.71085723731
105,"1:62,500",709.13,"Distributed",7,40.2001942792336,-117.711304957522
105,"1:62,500",709.13,"Distributed",8,40.1991922387586,-117.711837957774
106,"1:62,500",879.006,"Distributed",1,40.2081763095089,-117.659776227533
106,"1:62,500",879.006,"Distributed",2,40.2079725206722,-117.660523453267
106,"1:62,500",879.006,"Distributed",3,40.2075309781928,-117.661338608614
106,"1:62,500",879.006,"Distributed",4,40.2071234005194,-117.66204054794
106,"1:62,500",879.006,"Distributed",5,40.206693179642,-117.662606628042
106,"1:62,500",879.006,"Distributed",6,40.2064441043972,-117.662980240909
